key,spec
B_ProjCoef_STD_RXCM_F3_IMGUI_S2,[0.96105~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGUI_S3,[0.85035~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG0_S0,[31.4717~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG0_S1,[2.29665~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG0_S2,[2.6412~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG0_S3,[2.6412~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG3_S0,[42.3109~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG3_S1,[1.11825~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG3_S2,[0.88035~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMG3_S3,[0.88035~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGALL_S0,[127.8719~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGALL_S1,[3.06345~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGALL_S2,[2.6412~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGALL_S3,[2.6412~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGUI_S0,[89.9486~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGUI_S1,[2.2083~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGUI_S2,[0.88035~0.000000001]
B_ProjCoef_STD_RXCM_F4_IMGUI_S3,[1.71135~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG0_S0,[38.8195~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG0_S1,[0.76095~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG0_S2,[0.34635~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG0_S3,[0.3729~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG3_S0,[0.7166~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG3_S1,[0.2088~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG3_S2,[0.1385535~0.000000001]
B_ProjCoef_STD_SPA_F0_IMG3_S3,[0.1491855~0.000000001]
B_ProjCoef_STD_SPA_F0_IMGALL_S0,[19.8838~0.000000001]
B_ProjCoef_STD_SPA_F0_IMGALL_S1,[0.73695~0.000000001]
